Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"TNF","Tumor Necrosis Factor","Protein Coding","52","GC06P033397","91.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"IL6","Interleukin 6","Protein Coding","49","GC07P022765","87.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"IL10","Interleukin 10","Protein Coding","47","GC01M206767","78.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","46","GC02P203867","77.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"IFNG","Interferon Gamma","Protein Coding","48","GC12M068064","71.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"CD40LG","CD40 Ligand","Protein Coding","47","GC0XP136649","70.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"INS","Insulin","Protein Coding","48","GC11M002159","68.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"TLR4","Toll Like Receptor 4","Protein Coding","50","GC09P117704","64.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"APOE","Apolipoprotein E","Protein Coding","50","GC19P044906","62.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","49","GC12M102395","55.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"TLR2","Toll Like Receptor 2","Protein Coding","51","GC04P153684","53.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2"
"CCR6","C-C Motif Chemokine Receptor 6","Protein Coding","45","GC06P167111","52.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6"
"IL1B","Interleukin 1 Beta","Protein Coding","49","GC02M112829","50.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"FOXP3","Forkhead Box P3","Protein Coding","46","GC0XM049250","50.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","46","GC06M032578","50.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"IL13","Interleukin 13","Protein Coding","45","GC05P132656","49.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","47","GC01M011785","49.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"NOD2","Nucleotide Binding Oligomerization Domain Containing 2","Protein Coding","48","GC16P050693","49.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2"
"HLA-DQB1","Major Histocompatibility Complex, Class II, DQ Beta 1","Protein Coding","44","GC06M032660","49.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","53","GC17M042313","48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"CRP","C-Reactive Protein","Protein Coding","46","GC01M159715","47.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"F2","Coagulation Factor II, Thrombin","Protein Coding","48","GC11P046720","46.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"ALB","Albumin","Protein Coding","50","GC04P073397","45.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"TG","Thyroglobulin","Protein Coding","43","GC08P132866","45.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TG"
"CD40","CD40 Molecule","Protein Coding","48","GC20P046118","44.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40"
"HLA-DQA1","Major Histocompatibility Complex, Class II, DQ Alpha 1","Protein Coding","43","GC06P033442","44.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQA1"
"CD28","CD28 Molecule","Protein Coding","46","GC02P203706","44.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD28"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","49","GC17P034255","44.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"APP","Amyloid Beta Precursor Protein","Protein Coding","51","GC21M025880","44.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","52","GC19M041301","42.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"PTH","Parathyroid Hormone","Protein Coding","47","GC11M013492","42.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH"
"AIRE","Autoimmune Regulator","Protein Coding","45","GC21P044285","42.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","49","GC17P063477","42.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"TLR3","Toll Like Receptor 3","Protein Coding","52","GC04P186059","42.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR3"
"SOD1","Superoxide Dismutase 1","Protein Coding","52","GC21P031659","42.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"GHRL","Ghrelin And Obestatin Prepropeptide","Protein Coding","43","GC03M010285","41.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL"
"TP53","Tumor Protein P53","Protein Coding","53","GC17M007661","41.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"IL2","Interleukin 2","Protein Coding","46","GC04M122451","40.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","50","GC19P010270","40.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"IL4","Interleukin 4","Protein Coding","46","GC05P132673","40.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","45","GC06M031289","40.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","42","GC04P073740","40","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"MPO","Myeloperoxidase","Protein Coding","50","GC17M058269","39.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"TLR5","Toll Like Receptor 5","Protein Coding","47","GC01M223109","39.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR5"
"ELN","Elastin","Protein Coding","44","GC07P074027","38.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELN"
"PTPN22","Protein Tyrosine Phosphatase Non-Receptor Type 22","Protein Coding","46","GC01M113813","38.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN22"
"CYP21A2","Cytochrome P450 Family 21 Subfamily A Member 2","Protein Coding","45","GC06P033435","38.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP21A2"
"VWF","Von Willebrand Factor","Protein Coding","48","GC12M005917","38.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","50","GC10M006010","38.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"TOR1A","Torsin Family 1 Member A","Protein Coding","43","GC09M129812","36.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOR1A"
"IL17A","Interleukin 17A","Protein Coding","42","GC06P052186","36.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"LEP","Leptin","Protein Coding","47","GC07P128241","35.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
