Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"IL10","Interleukin 10","Protein Coding","47","GC01M206767","72.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"IL6","Interleukin 6","Protein Coding","49","GC07P022765","69.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"IFNG","Interferon Gamma","Protein Coding","48","GC12M068064","69.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"CD40LG","CD40 Ligand","Protein Coding","47","GC0XP136649","65.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"TLR4","Toll Like Receptor 4","Protein Coding","50","GC09P117704","53.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","46","GC02P203867","51.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"TNF","Tumor Necrosis Factor","Protein Coding","52","GC06P033397","50.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"TLR2","Toll Like Receptor 2","Protein Coding","51","GC04P153684","49.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2"
"FOXP3","Forkhead Box P3","Protein Coding","46","GC0XM049250","49.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","53","GC02M190964","49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","53","GC17M042313","47.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"CD40","CD40 Molecule","Protein Coding","48","GC20P046118","46.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40"
"CD19","CD19 Molecule","Protein Coding","49","GC16P028943","45.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD19"
