Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"TP53","Tumor Protein P53","Protein Coding","53","GC17M007661","33.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","54","GC07P055019","20.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","47","GC11M002130","19.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"CTNNB1","Catenin Beta 1","Protein Coding","53","GC03P041236","19.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","50","GC12M025204","18.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","52","GC08P127735","17.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","49","GC12P012716","17.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"MIR21","MicroRNA 21","RNA Gene","21","GC17P059841","16.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","52","GC03P030623","16.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","49","GC06P043770","15.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","50","GC06P046057","15.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","54","GC14M104769","15.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","52","GC19M041301","14.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"ACTA2","Actin Alpha 2, Smooth Muscle","Protein Coding","47","GC10M088935","14.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA2"
"MIR34A","MicroRNA 34a","RNA Gene","20","GC01M009151","13.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"IL6","Interleukin 6","Protein Coding","49","GC07P022765","13.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"ESR1","Estrogen Receptor 1","Protein Coding","53","GC06P151656","13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"SEPTIN9","Septin 9","Protein Coding","35","GC17P077282","12.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPTIN9"
"RAD51","RAD51 Recombinase","Protein Coding","51","GC15P040694","12.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","53","GC17M042313","12.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","55","GC08M038400","12.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","53","GC10P087863","12.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"TNF","Tumor Necrosis Factor","Protein Coding","52","GC06P033397","12.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"MIR126","MicroRNA 126","RNA Gene","20","GC09P136670","12.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"CDKN2B","Cyclin Dependent Kinase Inhibitor 2B","Protein Coding","47","GC09M022002","11.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","51","GC22M021754","11.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","47","GC04P122826","11.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"MIR145","MicroRNA 145","RNA Gene","20","GC05P149430","11.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","53","GC01M011106","10.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
