Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"HFE","Homeostatic Iron Regulator","Protein Coding","43","GC06P026087","76.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"TFR2","Transferrin Receptor 2","Protein Coding","44","GC07M100620","52.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFR2"
"HJV","Hemojuvelin BMP Co-Receptor","Protein Coding","35","GC01M146018","52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HJV"
"SLC40A1","Solute Carrier Family 40 Member 1","Protein Coding","45","GC02M189560","45.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC40A1"
"HAMP","Hepcidin Antimicrobial Peptide","Protein Coding","42","GC19P037707","42.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAMP"
"BMP6","Bone Morphogenetic Protein 6","Protein Coding","43","GC06P007726","40.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6"
"FTH1","Ferritin Heavy Chain 1","Protein Coding","50","GC11M061959","40.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTH1"
"PIEZO1","Piezo Type Mechanosensitive Ion Channel Component 1","Protein Coding","37","GC16M088715","32.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIEZO1"
"TF","Transferrin","Protein Coding","49","GC03P133666","30.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TF"
"TFRC","Transferrin Receptor","Protein Coding","49","GC03M196027","26.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFRC"
"ATP7B","ATPase Copper Transporting Beta","Protein Coding","47","GC13M051905","21.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7B"
"TP53","Tumor Protein P53","Protein Coding","53","GC17M007661","19.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"HMOX1","Heme Oxygenase 1","Protein Coding","52","GC22P035380","19.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"UROD","Uroporphyrinogen Decarboxylase","Protein Coding","45","GC01P045012","19.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UROD"
