Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"EPO","Erythropoietin","Protein Coding","42","GC07P100720","66.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPO"
"FANCA","FA Complementation Group A","Protein Coding","48","GC16M089744","63.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCA"
"FANCC","FA Complementation Group C","Protein Coding","46","GC09M095099","54.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCC"
"BRIP1","BRCA1 Interacting Protein C-Terminal Helicase 1","Protein Coding","47","GC17M061679","53.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRIP1"
"FANCD2","FA Complementation Group D2","Protein Coding","46","GC03P010026","51.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCD2"
"TP53","Tumor Protein P53","Protein Coding","53","GC17M007661","49.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"FANCI","FA Complementation Group I","Protein Coding","42","GC15P089243","45.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCI"
"FANCG","FA Complementation Group G","Protein Coding","43","GC09M035073","45.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCG"
"TNF","Tumor Necrosis Factor","Protein Coding","52","GC06P033397","45.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"IL6","Interleukin 6","Protein Coding","49","GC07P022765","43.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","49","GC13P032315","42.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"FANCM","FA Complementation Group M","Protein Coding","41","GC14P045135","42.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCM"
"IFNG","Interferon Gamma","Protein Coding","48","GC12M068064","41.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"FANCE","FA Complementation Group E","Protein Coding","42","GC06P046034","40.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCE"
"FANCF","FA Complementation Group F","Protein Coding","42","GC11M022600","40.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCF"
"SLX4","SLX4 Structure-Specific Endonuclease Subunit","Protein Coding","38","GC16M003581","39.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLX4"
"G6PD","Glucose-6-Phosphate Dehydrogenase","Protein Coding","50","GC0XM154531","39.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PD"
"U2AF1","U2 Small Nuclear RNA Auxiliary Factor 1","Protein Coding","41","GC21M043092","39.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=U2AF1"
"PKLR","Pyruvate Kinase L/R","Protein Coding","47","GC01M155289","38.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKLR"
"CD40LG","CD40 Ligand","Protein Coding","47","GC0XP136649","37.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"HBB","Hemoglobin Subunit Beta","Protein Coding","45","GC11M005334","37.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
