Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"INS","Insulin","Protein Coding","48","GC11M002159","185.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"TNF","Tumor Necrosis Factor","Protein Coding","52","GC06P033397","130.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"IL6","Interleukin 6","Protein Coding","49","GC07P022765","118.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","50","GC20P044355","112.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","49","GC06P043770","110.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"HNF1A","HNF1 Homeobox A","Protein Coding","46","GC12P120978","108.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"GCK","Glucokinase","Protein Coding","51","GC07M044145","107.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK"
"TP53","Tumor Protein P53","Protein Coding","53","GC17M007661","107.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"ALB","Albumin","Protein Coding","50","GC04P073397","106.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","46","GC11M017392","105.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"IL1B","Interleukin 1 Beta","Protein Coding","49","GC02M112829","104.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","47","GC11M017364","103.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"SERPINE1","Serpin Family E Member 1","Protein Coding","50","GC07P101127","102.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"NF1","Neurofibromin 1","Protein Coding","48","GC17P031007","102.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","49","GC12M102395","101.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"APOB","Apolipoprotein B","Protein Coding","45","GC02M020956","101.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","50","GC19P010270","101.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","53","GC03P012287","101.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","49","GC17P063477","101.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"APOE","Apolipoprotein E","Protein Coding","50","GC19P044906","99.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","52","GC19M041301","96.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","54","GC14M104769","94.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","45","GC03P186842","94.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"IL10","Interleukin 10","Protein Coding","47","GC01M206767","93.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","49","GC17P034255","90.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"LPL","Lipoprotein Lipase","Protein Coding","50","GC08P019901","89.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"PDX1","Pancreatic And Duodenal Homeobox 1","Protein Coding","46","GC13P027921","89.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDX1"
"IFNG","Interferon Gamma","Protein Coding","48","GC12M068064","87.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"INSR","Insulin Receptor","Protein Coding","54","GC19M007112","87.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR"
"APOA1","Apolipoprotein A1","Protein Coding","49","GC11M116835","86.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","50","GC03P148697","86.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1"
